"","type","fatalities","injuries","total"
"298","HEAVY RAIN/SEVERE WEATHER",0,0,0
"299","HEAVY RAIN/SMALL STREAM URBAN",0,0,0
"300","HEAVY RAIN/SNOW",0,0,0
"301","HEAVY RAIN/URBAN FLOOD",0,0,0
"302","HEAVY RAIN/WIND",0,0,0
"303","HEAVY RAIN; URBAN FLOOD WINDS;",0,0,0
"304","HEAVY RAINFALL",0,0,0
"306","HEAVY RAINS/FLOODING",0,0,0
"308","HEAVY SHOWER",0,0,0
"309","HEAVY SHOWERS",0,0,0
"311","HEAVY SNOW-SQUALLS",0,0,0
"312","HEAVY SNOW   FREEZING RAIN",0,0,0
"313","HEAVY SNOW & ICE",0,0,0
"314","HEAVY SNOW AND",0,0,0
"316","HEAVY SNOW AND ICE",0,0,0
"317","HEAVY SNOW AND ICE STORM",0,0,0
"318","HEAVY SNOW AND STRONG WINDS",0,0,0
"319","HEAVY SNOW ANDBLOWING SNOW",0,0,0
"321","HEAVY SNOW SQUALLS",0,0,0
"322","HEAVY SNOW/BLIZZARD",0,0,0
"324","HEAVY SNOW/BLOWING SNOW",0,0,0
"325","HEAVY SNOW/FREEZING RAIN",0,0,0
"326","HEAVY SNOW/HIGH",0,0,0
"327","HEAVY SNOW/HIGH WIND",0,0,0
"328","HEAVY SNOW/HIGH WINDS",0,0,0
"329","HEAVY SNOW/HIGH WINDS & FLOOD",0,0,0
"330","HEAVY SNOW/HIGH WINDS/FREEZING",0,0,0
"332","HEAVY SNOW/ICE STORM",0,0,0
"333","HEAVY SNOW/SLEET",0,0,0
"334","HEAVY SNOW/SQUALLS",0,0,0
"335","HEAVY SNOW/WIND",0,0,0
"336","HEAVY SNOW/WINTER STORM",0,0,0
"337","HEAVY SNOWPACK",0,0,0
"341","HEAVY SURF COASTAL FLOODING",0,0,0
"343","HEAVY SWELLS",0,0,0
"344","HEAVY WET SNOW",0,0,0
"346","HIGH  SWELLS",0,0,0
"347","HIGH  WINDS",0,0,0
"351","HIGH SURF ADVISORIES",0,0,0
